year,name,hotdogs_eaten,gender
2020,Joey Chestnut,75.0,m
2020,Miki Sudo,48.5,f
2020,Darron Breeden,42.0,m
2020,Nick Wehry,39.5,m
2020,George Chiger,24.0,m
2020,Eric Booker,20.0,m
2020,Larell Marie Mele,18.0,f
2020,Katie Prettyman,15.0,f
2020,Julie Goldberg,8.5,f
2020,Rene Rovtar,7.0,f
2019,Joey Chestnut,71.0,m
2019,Miki Sudo,31.0,f
2019,Darron Breeden,50.0,m
2019,Geoffrey Esper,47.0,m
2019,Matt Stonie,46.0,m
2019,Max Suzuki,39.0,m
2019,Nick Wehry,36.0,m
2019,Gideon Oji,34.0,m
2019,Matt Hazzard,34.0,m
2019,Juan Neave,29.0,m
2019,Adam Moran,28.5,m
2019,Ronnie Hartman,28.5,m
2019,Derek Jacobs,27.0,m
2019,Pablo Martinez,27.0,m
2019,Adrian Morgan,26.0,m
2019,George Chiger,26.0,m
2019,Juan Rodriguez,26.0,m
2019,Darrien Thomas,22.0,m
2019,Steve Hendry,22.0,m
2019,Michelle Lesco,26.5,f
2019,Juliet Lee,23.0,f
2019,Sarah Reinecke,23.0,f
2019,Larell Marie Mele,18.0,f
2019,Sophia DeVita,14.0,f
2019,Katie Prettyman,12.5,f
2019,Holly Titus,11.0,f
2019,Kelly Wong,10.5,f
2019,Kathryn Tesch,10.5,f
2019,Jocelyn Walker,9.0,f
2019,Mary Bowers,8.0,f
2019,Juliet Goldberg,7.0,f
2019,Rene Rovtar,7.0,f
2019,Katherine Wong,6.0,f
2018,Joey Chestnut,74.0,m
2018,Miki Sudo,37.0,f
2018,Carmen Cincotti,64.0,m
2018,Darron Breeden,43.0,m
2018,Geoffrey Esper,41.0,m
2018,Matt Stonie,40.0,m
2018,Gideon Oji,37.5,m
2018,Max Suzuki,34.0,m
2018,Adrian Morgan,33.0,m
2018,Juan Rodriguez,32.0,m
2018,Nick Wehry,31.0,m
2018,Rich LeFevre,28.0,m
2018,Derek Jacobs,27.0,m
2018,Juan Neave,27.0,m
2018,Matt Hazzard,25.0,m
2018,George Chiger,24.75,m
2018,Steve Hendry,24.0,m
2018,Pablo Martinez,24.0,m
2018,Erik Denmark,21.5,m
2018,Ronnie Hartman,21.5,m
2018,Jim Reeves,21.0,m
2018,Badlands Booker,20.0,m
2018,Michelle Lesco,28.0,f
2018,Juliet Lee,25.0,f
2018,Sarah Reinecke,21.0,f
2018,Larell Marie Mele,19.0,f
2018,Sophia DeVita,14.0,f
2018,Jingru Chen,13.0,f
2018,Kassandra Zapata,12.0,f
2018,Katie Prettyman,11.0,f
2018,Jocelyn Walker,10.5,f
2018,Tracie Dickerson,8.0,f
2018,Kathryn Tesch,8.0,f
2018,Holly Titus,8.0,f
2018,Brittany Powell,7.0,f
2018,Rene Rovtar,6.5,f
2018,Brynn Szeles,6.5,f
2018,Kristina Rovtar,5.0,f
2018,Prudence DiBenedetto,4.0,f
2017,Joey Chestnut,72.0,m
2017,Miki Sudo,41.0,f
2017,Carmen Cincotti,60.0,m
2017,Matt Stonie,48.0,m
2017,Geoffrey Esper,44.5,m
2017,Darron Breeden,38.5,m
2017,Gideon Oji,36.0,m
2017,Adrian Morgan,34.0,m
2017,Juan Rodriguez,33.0,m
2017,Yasir Salem,33.0,m
