CNTRLNUM,OCCRDATE,OPCODE,TAILNUM,SERNUM,MAKE,GROUPS,PARTLOC,PARTCOND,PRECAUTION,NATURE,STAGEOP,REMARKS
94010500151,1/1/1994 0:00:00,SWAA,356SW,25251,BOEING,737,CABIN,INOP,NONE,NO TEST,INSP/MAINT,3 RED CABIN EMERGENCY FLOOR TRACK LIGHTS INOP.  RELAMPED FLOOR LIGHTS PER BOEING M/M.
94010500152,1/2/1994 0:00:00,SWAA,509SW,24186,BOEING,737,CABIN,FAILED,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED SERVICE CHECK, FOUND 2 RED EMERGENCY FLOOR TRACK LIGHTS INOP.  RELAMPED BOTH LIGHTS PER BOEING M/M."
94010500153,1/1/1994 0:00:00,SWAA,514SW,25153,BOEING,737,CABIN,DISCHARGED,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED B1 CHECK, FOUND AFT CABIN RED EMERGENCY FLOOR TRACK LIGHTS INOP.  REPLACED BATTERY PACK PER BOEING M/M."
94011000220,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 312,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FLOORBEAM CORROSION AT BS 312, WL 208, RBL 8.  REPAIRED PER SWA RA 1-353-421."
94011000221,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 380-400,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND L ANGLE CRACKED AT BS 380-400, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011000222,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 380,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND INTERCOSTAL TO FRAME L ANGLE CRACKED AT BS 380, STRINGER 26L.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011000223,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 530,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND WEB CRACKED AT BS 530,  BETWEEN STRINGER 23 AND 24 RIGHT.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011000224,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 328,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND FLOOR BEAM TENSION STRAP CRACKED AT BS 328, RBL 30 WL 200.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011000225,1/5/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 727C,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND STRINGER CLIP CRACKED AT BS 727C, STR.5.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011000226,1/6/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS  277R,DAMAGED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, ACCOMPLISHED BS 277 FRAME REPAIR AND REINFORCEMENT PER SWA ACO 3263-53."
