CODE,NAME
A12R,ALTAIR TURBINE SERVI
A14R,AERO FABRICATORS INC
A21A,AIR 21 INC
A3AR,AMERICAN AIRLINES IN
A4JA,SUN JET INTERNATIONA
A4OR,AERO-MAG INC
A5OR,AIRCRAFTERS OF ENTER
A6WA,AIR WISCONSIN AIRLIN
A6WR,AIR WISCONSIN AIRLIN
A6XA,AIR SOUTH AIRLINES I
A7MA,AIR CARGO MASTERS IN
AA4R,SAWYER AVIATION
AALA,AMERICAN AIRLINES IN
ABFA,AVJET CORPORATION
ABXA,ABX AIR INC
AC1R,TEXAS GAS TRANSMISSI
AC2R,CHEVRON USA INC RADI
ACOR,AIR CARE INC
ACSA,ARCTIC CIRCLE AIR SE
ADKR,ADS AIRCRAFT SERVICE
AE2R,HOUMA AVIONICS
AF4R,AC PROPELLER SERVICE
AG2R,ENGINE COMPONENTS
AHDR,HARRISBURG JET CENTE
AHRR,LAFAYETTE AVIATION I
AHTA,TRI STATE AERO INC
AHTR,TRI STATE AERO INC
AHVR,INDIANA AIRMOTIVE IN
AJ4R,FOOTHILL AIRCRAFT SA
AJCA,ATLANTIC AVIATION FL
AJVA,MUNCIE AVIATION CO
AJVR,MUNCIE AVIATION CO D
AJZA,AVI INC
AJZR,AVI INC
AKGR,EXECUTIVE BEECHCRAFT
AKVR,CENTRAL MISSOURI AVI
AL1R,MURRAY AVIONICS INC
ALGA,OFFSHORE LOGISTICS I
ALGR,OFFSHORE LOGISTICS I
AM2R,MID CONTINENT AIRMOT
AMCR,AMWAY CORP
AMPA,MANAGEMENT AIR TRANS
AMTA,AMERICAN TRANS AIR I
AMVR,SCHOOL OF THE OZARKS
AMWA,AIR MIDWEST INC
AMXA,AIR ASSOCIATES CHART
AMYA,KANSAS CITY AVIATION
AMYR,KANSAS CITY AVIATION
AN3D,UNC CFC ACQUISITION
AN3R,UNC-CFC ACQUISITION
ANCF,AEROVIAS NACIONALES
ANZZ,AIR NEW ZEALAND LTD
AOQA,EXECUTIVE FLITEWAYS
AOSA,WAYFARER AVIATION IN
AOSR,WAYFARER AVIATION IN
APCA,AIRPAC AIRLINES INC
APCR,AIRPAC AIRLINES INC
APJR,PANORAMA FLIGHT SERV
APMA,VENTURA AIR SERVICES
AQCR,AUSTIN AVIONICS
AQHD,EL AERO SERVICES
AQHR,EL AERO SERVICES INC
ARWA,ARROW AIR INC
ARWR,ARROW MAINTENANCE AN
ASAA,ALASKA AIRLINES INC
ASCB,ARAMCO ASSOCIATED CO
ASMY,AEROVIAS DE MEXICO S
ASOA,ATLANTIC SOUTHEAST A
ASTY,AUSTRAL LINEAS AEREA
ASWA,SCENIC AIRLINES INC
ATBA,AIRLIFT TRANSPORT IN
ATWA,AIR TRAILS LLC
ATZA,SKY HARBOR AIR SERVI
ATZR,SKY HARBOR AIR SERVI
AU3R,CORPORATE AVIATION A
AUCG,AERO UNION CORP
AUMR,REDDING AIR SERVICE
AVRA,AVIATION RESOURCES L
AVSA,AVIATION SERVICES LT
AW1R,KAMP AIR AVIATION IN
AW4R,AVIATION SERVICES IN
AWHA,WEST AIR INC
AWKR,WOODLAND AVIATION IN
AWQR,BRIDGEFORD FLYING SV
AWXA,AMERICA WEST AIRLINE
AXSA,WIGGINS AIRWAYS INC
AY55,FFV AEROTECH INC
AYPA,ASSOCIATED AIRCRAFT
AZ2R,BALLOONPORT OF OKLAH
AZVR,MADISONVILLE FLYING
AZWA,CENTRAL AMERICAN AIR
B2ER,BOSHART ENTERPRISES
B2PR,BANYAN AIR SERVICE I
B4GR,B F GOODRICH AEROSPA
B5SR,BLUE-SKY AVIATION IN
B8FR,B F GOODRICH AEROSPA
BAJA,BAKER AVIATION INC
BAKA,BLACKHAWK AIRWAYS IN
BAQA,CORPORATE JETS INC
BAQR,CORPORATE JETS MAINT
BBCA,AIR EAST INC
BCBR,PENN AIR INC
BCFA,AERO NATIONAL INC
BDHA,AIRVANTAGE LLC
BDTR,AMR COMBS
BDVA,HIAWATHA AVIATION OF
BEMA,BEMIDJI AVIATION SER
BERA,CRITICAL CARE SERVIC
BF1R,BRADENS FLYING SERVI
BFJG,"MERCK, ROBERT WARREN"
BFWR,EASTERN AIRCRAFT SAL
BG4R,JOHNSTON AIRCRAFT SE
BGAA,FOLSOMS AIR SERVICE
BHKA,FLIGHT INTERNATIONAL
BHKR,FLIGHT INTERNATIONAL
BIAA,BIG ISLAND AIR INC
BIEA,AERO INDUSTRIES INC
BIER,AERO INDUSTRIES INC
BIGA,BIGHORN AIRWAYS INC
BIOR,PRIOR AVIATION SERVI
BJ3R,VICTOR AVIATION SERV
BJFA,SYRACUSE EXECUTIVE A
BJFR,SYRACUSE EXECUTIVE A
BJNA,TEM ENTERPRISES INC
BKAA,BANKAIR INC
BKHR,SANTA BARBARA AVIATI
BLBR,FORT WAYNE AIR SERVI
BMUA,BAY CITIES MEDICAL S
BN4R,UNITED TECHNOLOGIES
BNGR,APEX FLIGHT SERVICES
BNZR,FLIGHT SERVICES
BOER,BYERLY AVIATION INC
BONR,THE FLIGHTSTAR CORPO
BPGR,BERKSHIRE AVIATION E
BQTA,BUSINESS AIR INC
BQVA,RICHMOR AVIATION INC
BQVR,RICHMOR AVIATION INC
BRDA,BIRD AIR FLEET INC
BS2R,HELICOPTER SPECIALIS
BSAA,BIG SKY TRANSPORTATI
BSMA,AERO FLIGHT SERVICE
BSYA,AIRNET SYSTEMS INC
BSYR,P D Q AIR SERVICE IN
BTEA,BUTTERWORTH AERO MED
BTHA,BIDZY TA HOT AANA CO
BTJR,BUTTE AVIATION INC
BTVA,CHRYSLER PENTASTAR A
BTVR,CHRYSLER PENTASTAR A
BUBA,MCMAHON HELICOPTER S
BUFA,BUFFALO AIRWAYS INC
BUHA,ROYAL AIR FREIGHT IN
BVYA,MIDWEST CORPORATE AV
BVYR,MIDWEST CORPORATE AV
BW2R,TEJAS AVIONICS INC
BWFA,MAC AIR CORP
BWGR,COFFEYVILLE AIRCRAFT
BWIA,NORTHWEST KANSAS REG
BWRR,YINGLING AIRCRAFT IN
