president,category,subcategory,item,count
Bush 41,Meat,Seafood,Supreme of Sole in Champagne,1
Bush 41,Meat,Seafood,Supreme of Smoked Trout with Horseradish Sauce,1
Bush 41,Meat,Seafood,Supreme of Smoked Trout with Sauce Verte,1
Bush 41,Meat,Seafood,Smoked Salmon,1
Bush 41,Meat,Seafood,Delice of Salmon Jefferson,1
Bush 41,Meat,Seafood,California Beluga Sturgeon with Sauce Diplomat,1
Bush 41,Meat,Red,Beef Wellington,1
Bush 41,Meat,Red,Chateaubriand Jardinière with Sauce Foyot,1
Bush 41,Meat,Red,Roasted Fillet of Beef Mascotte with Green Peppercorn Sauce,1
Bush 41,Meat,Red,"Roasted Fillet of Beef, Bearnaise Sauce",1
Bush 41,Meat,Red,"Roast Tenderloin of Beef, Sauce Périgueux",1
Bush 41,Meat,Red,Tender Medallion of Beef,1
Bush 41,Meat,Red,Roast Sirloin of Beef au Jus,1
Bush 41,Meat,Red,Loin of Veal Farci with Shiitake Mushrooms and Green Pepper Sauce,1
Bush 41,Meat,Red,Roasted Saddle of Veal Périgourdine,1
Bush 41,Meat,Red,Roast Saddle of Veal Farci with Périgord Sauce,1
Bush 41,Meat,Red,Medallion of Veal Piemontese,1
Bush 41,Meat,Red,"Medallions of Veal, Wild Mushrooms",1
Bush 41,Meat,Red,Saddle of Veal with Wild Mushrooms,1
Bush 41,Meat,Red,Roast Loin of Veal Ambassadeur with Wild Mushroom Sauce,1
Bush 41,Meat,Red,Rack of Lamb Persillade,2
Bush 41,Meat,Red,Roast Rack of Lamb in Herb Crust with Sauce Paloise,1
Bush 41,Meat,Red,Roast Rack of Lamb in Herbed Crust,1
Bush 41,Meat,Red,Loin of Lamb Farci Chartreuse with Morel Sauce,1
Bush 41,Meat,Red,Crown Roast of Lamb with Minted Sauce,1
Bush 41,Meat,Red,"Crown Roast of Lamb, Jalapeño Mint Sauce",1
Bush 41,Meat,Red,Crown Roast of Lamb,2
Bush 41,Meat,Red,Loin of Lamb with Three Peppers in Basil Sauce,1
Bush 41,Meat,Red,Cushion of Lamb in Tarragon,1
Bush 41,Meat,Red,Frenched Lamb Chops,1
Bush 41,Meat,Poultry,Breast of Chicken Rosemary with Wild Mushrooms,1
Bush 41,Meat,Poultry,Supreme of Duckling à l'orange,1
Bush 41,Meat,Poultry,Supreme of Duck à l'orange,1
Bush 41,Meat,Poultry,Supreme of Pheasant Vigneron,1
Bush 41,Meat,Mousse,Salmon/Sole Mousseline,1
Bush 41,Meat,Mousse,Smoked Salmon Mousse,1
Bush 41,Meat,Mousse,Smoked Salmon Mousse with Herb Sauce,1
Bush 41,Meat,Mousse,Salmon Mousse,1
Bush 41,Meat,Mousse,Mousse of Salmon with Caviar Sauce,1
Bush 41,Meat,Mousse,Mousseline Périgourdin,1
Bush 41,Meat,Mousse,Smoked Trout and Asparagus Mousse with Horseradish Chantilly,1
Bush 41,Meat,Mousse,Supreme of Smoked Trout and Cucumber Mousse with Herb Sauce,1
Bush 41,Meat,Mousse,Salmon Rosettes and Cucumber Mousse with Light Dill Sauce,1
Bush 41,Meat,Mousse,Cucumber Mousse and Smoked Salmon with Caviar Sauce,1
Bush 41,Meat,Mousse,Lobster Medallions and Cucumber Mousse with Caviar Sauce,2
Bush 41,Meat,Mousse,Medallions of Maine Lobster and Cucumber Mousse with Aurora Sauce,1
Bush 41,Meat,Mousse,Supreme of Maine Lobster with Cucumber Mousse and Caviar Sauce,1
Bush 41,Meat,Mousse,Maryland Crabmeat and Cucumber Mousse with Ravigote Sauce,1
Bush 41,Meat,Aspic/Jelly,Maine Lobster en Gelée with Aurora Sauce,1
Bush 41,Meat,Aspic/Jelly,Supreme of Salmon en Gelée with Dilled Cucumber Sauce,1
Bush 41,Meat,Aspic/Jelly,Poached Salmon in Champagne Aspic with Caviar Sauce,1
Bush 41,Meat,Aspic/Jelly,Medallions of Salmon in Aspic with Caviar Sauce,1
Bush 41,Meat,Aspic/Jelly,Baby Lobster in Champagne Jelly with Caviar Sauce,1
Bush 41,Carbs,Crepes,Crepas de Huitlacoche,1
Bush 41,Carbs,Potatoes,Potato Rosettes,1
Bush 41,Carbs,Potatoes,Dauphine Potatoes,2
Bush 41,Carbs,Potatoes,Marquise Potatoes,1
Bush 41,Carbs,Bulgar,Minted Bulgar Pilaf,2
Bush 41,Carbs,Pastries,Fleurons,3
Bush 41,Carbs,Pastries,Sesame Fleurons,1
Bush 41,Carbs,Pastries,Sesame Twists,1
Bush 41,Carbs,Pastries,Curried Croissants,1
Bush 41,Carbs,Pastries,Savory Galettes,1
Bush 41,Carbs,Pastries,Fennel Galettes,3
Bush 41,Carbs,Pastries,Potato Galette,1
Bush 41,Carbs,Pastries,Galettes Fines Herbes,1
Bush 41,Carbs,Pastries,Semolina Galettes,1
Bush 41,Carbs,Pastries,Sesame Seed Galettes,1
Bush 41,Carbs,Pastries,Pesto Galettes,2
Bush 41,Carbs,Pastries,Herbed Galettes,1
Bush 41,Carbs,Pastries,Tapenade Galettes,1
Bush 41,Carbs,Pastries,Sesame Galettes,1
Bush 41,Carbs,Pastries,Herbed Bow Ties,1
Bush 41,Carbs,Corn,Corn Sticks,2
Bush 41,Carbs,Cheese Pastries,Cheese Bow Ties,4
Bush 41,Carbs,Cheese Pastries,Gruyere Bow Ties,1
Bush 41,Carbs,Cheese Pastries,Paillettes Parmesan,1
Bush 41,Carbs,Toast,Melba Toast,2
Bush 41,Carbs,Timbale,Saffron Rice and Vegetable Timbale,1
Bush 41,Carbs,Timbale,Rice Timbale,1
Bush 41,Carbs,Rolls,Semolina Crescents,3
Bush 41,Carbs,Bread,French Bread,1
Bush 41,Carbs,Croquettes,Croquette Potatoes,2
Bush 41,Carbs,Croquettes,Duchess Potatoes,1
Bush 41,Carbs,Bread Sticks,Sesame Sticks,2
Bush 41,Carbs,Yorkshire Pudding,Yorkshire Pudding,1
Bush 41,Carbs,Rissoles,Mushroom Rissoles,1
Bush 41,Carbs,Rice,Wild Rice Amandine,1
Bush 41,Carbs,Rice,Wild Rice with Pine Nuts,1
Bush 41,Carbs,Rice,Rice Pilaf Valencienne,1
Bush 41,Carbs,Rice,Sauteed Wild Rice with Raisins,1
Bush 41,Carbs,Rice,Blended Rice,1
Bush 41,Vegetables,Vegetables,Autumn Vegetables,1
Bush 41,Vegetables,Vegetables,Bouquets of Vegetables,1
Bush 41,Vegetables,Vegetables,Jardiniere of Vegetables,1
Bush 41,Vegetables,Vegetables,Medley of Garden Vegetables,1
Bush 41,Vegetables,Vegetables,Sauteed Spring Vegetables,1
Bush 41,Vegetables,Vegetables,Vegetable Baskets,1
Bush 41,Vegetables,Squash,Spinach Ring and Yellow Acorn Squash,1
Bush 41,Vegetables,Squash,Carrot Timbale and Young Squash,1
Bush 41,Vegetables,Squash,Tomato and Squash Baskets,1
Bush 41,Vegetables,Squash,"Acorn Squash, Baby Corn, and Snow Peas",1
Bush 41,Vegetables,Spinach,Turban of Spinach,1
Bush 41,Vegetables,Spinach,Spinach Ring and Yellow Acorn Squash,1
Bush 41,Vegetables,Cauliflower,Green Cauliflower and Baby Carrots,1
Bush 41,Vegetables,Mousse,Dill Mousseline,2
Bush 41,Vegetables,Mousse,Mousse of Celeriac,1
Bush 41,Vegetables,Corn,"Acorn Squash, Baby Corn, and Snow Peas",1
Bush 41,Vegetables,Potatoes,Deep Fried Potatoes,1
Bush 41,Vegetables,Potatoes,Olivette Potatoes,1
Bush 41,Vegetables,Potatoes,Chateau Potatoes,2
Bush 41,Vegetables,Potatoes,Gaufrette Potatoes,1
Bush 41,Vegetables,Celery,Celeriac Puree,1
Bush 41,Vegetables,Fermière,Tomato-Corn Fermière,1
Bush 41,Vegetables,Pate,"Vegetable Pate, Tomato Coulis",1
Bush 41,Vegetables,Carrots,Green Beans and Baby Carrots,1
Bush 41,Vegetables,Carrots,Asparagus and Baby Carrots,1
Bush 41,Vegetables,Carrots,Glazed Carrots,1
Bush 41,Vegetables,Carrots,Green Cauliflower and Baby Carrots,1
Bush 41,Vegetables,Carrots,Asparagus Polonaise and Buttered Carrots,1
Bush 41,Vegetables,Carrots,Asparagus and Carrots in Roma Tomato Ring,1
Bush 41,Vegetables,Carrots,Asparagus and Carrots,1
Bush 41,Vegetables,Carrots,Green Asparagus and Baby Carrots,1
