president,category,subcategory,item,count
Carter,Meat,Seafood,Poached Lemon Sole Filled with Salmon,1
Carter,Meat,Seafood,Atlantic Halibut with Seafood Sauce,1
Carter,Meat,Seafood,Supreme of Halibut Fines Herbes,1
Carter,Meat,Seafood,Supreme of Halibut in Herb Sauce,1
Carter,Meat,Seafood,Fillet of Smoked Trout,1
Carter,Meat,Seafood,Fillet of Smoked Trout with Horseradish Sauce,1
Carter,Meat,Seafood,Sauteed Supreme of Pompano with Lemon Sauce,1
Carter,Meat,Seafood,Florida Pompano Véronique,1
Carter,Meat,Seafood,Supreme of Pompano in White Grape Sauce,1
Carter,Meat,Seafood,Florida Pompano Sauteed,1
Carter,Meat,Seafood,Cold Poached Columbia River Salmon with Watercress Sauce,1
Carter,Meat,Seafood,Cold Columbia River Salmon with Sauce Verte,1
Carter,Meat,Seafood,Columbia River Smoked Salmon,1
Carter,Meat,Seafood,Broiled Red Snapper,1
Carter,Meat,Seafood,Red Snapper with Seafood,1
Carter,Meat,Seafood,Alaskan King Crab in Herb Sauce,1
Carter,Meat,Seafood,Maryland Crab with Oyster Sauce,1
Carter,Meat,Seafood,Supreme of Maryland Crab,1
Carter,Meat,Seafood,Supreme of Striped Bass,1
Carter,Meat,Seafood,Baked Striped Bass,1
Carter,Meat,Seafood,Striped Bass with Oyster Sauce,1
Carter,Meat,Seafood,Supreme of Striped Bass Dugléré,1
Carter,Meat,Seafood,Half Cold Lobster with Sauce Remoulade,1
Carter,Meat,Seafood,Cold Lobster with Sauce Remoulade,1
Carter,Meat,Seafood,Supreme of Seafood with Palm Hearts,1
Carter,Meat,Seafood,Avocado Pear Stuffed with Seafood,1
Carter,Meat,Red,Roast Rib of Beef,1
Carter,Meat,Red,Tenderloin of Beef in Golden Crust,1
Carter,Meat,Red,Roast Sirloin of Beef,1
Carter,Meat,Red,Roast Tenderloin of Beef,1
Carter,Meat,Red,Broiled Filet Mignon,1
Carter,Meat,Red,Filet Mignon Wellington with Truffle Sauce,2
Carter,Meat,Red,Chateaubriand Bearnaise,1
Carter,Meat,Red,Broiled Chateaubriand with Sauce Bearnaise,1
Carter,Meat,Red,Roast Stuffed Saddle of Veal,1
Carter,Meat,Red,Roast Saddle of Veal,1
Carter,Meat,Red,Roast Stuffed Loin of Veal,1
Carter,Meat,Red,Medallions of Veal,1
Carter,Meat,Red,Roast Stuffed Saddle of Lamb,2
Carter,Meat,Red,Crown Roast of Lamb,1
Carter,Meat,Red,Rack of Lamb in Fine Herbs,1
Carter,Meat,Red,Roast Rack of Lamb,1
Carter,Meat,Red,Roast Rack of Lamb with Fine Herbs,1
Carter,Meat,Red,Stuffed Saddle of Lamb,1
Carter,Meat,Ham,Glazed Virginia Ham with Brandied Peaches,1
Carter,Meat,Poultry,Supreme of Pheasant,1
Carter,Meat,Poultry,Roast Supreme of Pheasant,1
Carter,Meat,Poultry,Roast Pheasant Véronique,1
Carter,Meat,Poultry,Supreme of Pheasant Véronique,1
Carter,Meat,Poultry,Supreme of Capon in White Grape Sauce,1
Carter,Meat,Poultry,Chicken Breast Stuffed with Mushroom Dressing,1
Carter,Meat,Poultry,Barbequed Chicken,1
Carter,Meat,Poultry,Supreme of Royal Squab,1
Carter,Meat,Poultry,Roast Duckling,1
Carter,Meat,Poultry,Roast Duckling with Glazed Peaches,1
Carter,Meat,Timbale,Timbale of Seafood,1
Carter,Meat,Suckling Pig,Suckling Pig,1
Carter,Meat,Buffalo,Roast Buffalo,1
Carter,Meat,Mousse,Mousse of Sole with Salmon Hearts,1
Carter,Meat,Aspic,Maine Lobster en Belle-Vue with Remoulade Sauce,1
Carter,Meat,Aspic,Columbia River Salmon in Aspic,1
Carter,Carbs,Croquettes,Dauphine Potatoes,1
