president,category,subcategory,item,count
Clinton,Meat,Seafood,Atlantic shellfish roll with Peekytoe crabmeat,1
Clinton,Meat,Seafood,"Cassoulet of Jonah Crab, Corn, and Fava Beans",1
Clinton,Meat,Seafood,Seared Arctic Char,1
Clinton,Meat,Seafood,Lobster Sausage,1
Clinton,Meat,Seafood,"Lobster with a Cumin, Ginger, and Tomato Sauce",1
Clinton,Meat,Seafood,Lemon Thyme Lobster,1
Clinton,Meat,Seafood,Chilled Lobster with Corn Leek Relish and Lobster Tarragon Sauce,1
Clinton,Meat,Seafood,Truffled Lobster Fricassée with Roasted Pumpkin Sauce,1
Clinton,Meat,Seafood,Wild Leek Marinated Lobster,1
Clinton,Meat,Seafood,Lobster and Maine Shrimp,1
Clinton,Meat,Seafood,Ginger Marinated Salmon,1
Clinton,Meat,Seafood,Pan-seared Salmon Loin with Key Lime and Ginger,1
Clinton,Meat,Seafood,Herb Cured Pacific Salmon,1
Clinton,Meat,Seafood,"Seared Salmon and Yukon Gold Potatoes with Dill, Mustard, and Scallion Sauces",1
Clinton,Meat,Seafood,House Cured Salmon with Tart of White Corn and Manchego Cheese,1
Clinton,Meat,Seafood,Maple-cured Salmon,1
Clinton,Meat,Seafood,Grilled Salmon Fillet “Mignon”,1
Clinton,Meat,Seafood,Roasted Salmon with Honey Spice Glaze,1
Clinton,Meat,Seafood,Roasted Salmon on Caramelized Fennel and Endive,1
Clinton,Meat,Seafood,Ginger and Black Bean Marinated Salmon,1
Clinton,Meat,Seafood,Copper River Salmon with Toasted Caraway and Tomato Sauce,1
Clinton,Meat,Seafood,Pepper Seared Salmon,1
Clinton,Meat,Seafood,Wild Copper River Salmon,1
Clinton,Meat,Seafood,Halibut with a Sesame Crust,1
Clinton,Meat,Seafood,Grilled Alaskan Halibut with a Coulis of Fresh Green Peas,1
Clinton,Meat,Seafood,Grilled Atlantic Turbot,1
Clinton,Meat,Seafood,"Marinated Shrimp with a Cumin, Ginger, and Tomato Sauce",1
Clinton,Meat,Seafood,Smoked Basil Shrimp with Potato Garlic Sauce,1
Clinton,Meat,Seafood,Poached Spot Prawns,1
Clinton,Meat,Seafood,Hood River Spotted Prawn,1
Clinton,Meat,Seafood,Northwestern Spotted Prawns,1
Clinton,Meat,Seafood,Seared Striped Bass,1
Clinton,Meat,Seafood,Grilled Yellowtail Snapper,1
Clinton,Meat,Red,"Marinated, Pan-Seared Beef Tenderloin",1
Clinton,Meat,Red,Pepper Crusted Oregon Beef with Shallot Marmalade,1
Clinton,Meat,Red,Fillet of Lamb with Nectarine Chutney and Wild Mushroom and Rosemary Sauce,1
Clinton,Meat,Red,Rack of Lamb,1
Clinton,Meat,Red,Lemon Thyme Marinated Lamb Chops with Roasted Garlic Sauce,1
Clinton,Meat,Red,"Loin of Lamb with Pistachios, Ginger, and Serrano",1
Clinton,Meat,Red,"Grilled Lamb and Morels, Asparagus, and Russet Potato Crisps with Vidalia Onion and Rosemary Sauce",1
Clinton,Meat,Red,Rack of Lamb with Winter Fruit and Pecans,1
Clinton,Meat,Red,Lamb Loin with Barolo Sauce,1
Clinton,Meat,Red,Grilled Lamb Tenderloin with Yellow Pepper Reduction,1
Clinton,Meat,Red,Grilled Rack of Lamb with Vidalia Onions,1
Clinton,Meat,Red,Cinnamon Smoked Lamb with Bourbon and Cascabel Peppers,1
Clinton,Meat,Red,Herb-crusted Lamb with Grain Mustard Jus,1
Clinton,Meat,Red,Honey Ginger Glazed Lamb,1
Clinton,Meat,Red,Pepper Seared Lamb Loin,1
Clinton,Meat,Red,Herbed Lamb Rack,1
Clinton,Meat,Red,Pecan Crusted Lamb,1
Clinton,Meat,Red,Grilled Rack of Lamb with Blood Orange and Rosemary Sauce,1
Clinton,Meat,Red,Apricot Ginger Glazed Lamb,1
Clinton,Meat,Red,Lemon Garlic Crusted Lamb,1
Clinton,Meat,Poultry,Grilled Chicken and Vegetable Tagine,1
Clinton,Meat,Poultry,Honey Mango Glazed Chicken,1
Clinton,Meat,Poultry,Lemon Herb Roasted Chicken,1
Clinton,Meat,Poultry,Grilled Chicken with Vidalia Onion Glaze,1
Clinton,Meat,Poultry,Smoked Pheasant Breast,1
Clinton,Meat,Poultry,Herb-Roasted Pheasant Breast,1
Clinton,Meat,Poultry,Pheasant Confit on Lemon Spinach,1
Clinton,Meat,Poultry,Seared Breast of Quail,1
Clinton,Meat,Poultry,Layered Duck and Pheasant,1
Clinton,Meat,Poultry,Five Spice Roasted Duck over Marinated Pears and Papaya,1
Clinton,Meat,Poultry,Darjeeling Tea Smoked Poussin,1
Clinton,Meat,Poultry,Spiced Partridge Breast,1
Clinton,Meat,Poultry,Cranberry and Partridge Sausage,1
Clinton,Carbs,Casserole,"Casserole of New Potatoes, Fava Beans, and Chanterelles",1
Clinton,Carbs,Potatoes,"Grilled Lamb and Morels, Asparagus, and Russet Potato Crisps with Vidalia Onion and Rosemary Sauce",1
Clinton,Carbs,Bread,Toasted Pear and Poppyseed Bread,1
Clinton,Carbs,Dumplings,Dumplings of Foie Gras and Confit,1
Clinton,Carbs,Rice Cakes,Crispy Rice Cake,1
Clinton,Carbs,Pastries,Field Greens with Goat Cheese Baked in Phyllo,1
Clinton,Carbs,Pastries,Tart of White Corn and Manchego Cheese,1
Clinton,Carbs,Pastries,Tart of Spring Vegetable with Meyer Lemon and Wild Leek Dressing,1
Clinton,Carbs,Pastries,Warm Goat Cheese Tart,1
Clinton,Carbs,Pastries,Tomatoes and Herbed Goats Cheese Baked in Brioche,1
Clinton,Carbs,Foccacia,Roasted Tomato Foccacia,1
Clinton,Carbs,Couscous,Couscous,1
Clinton,Carbs,Couscous,Saffron Pistachio Couscous,1
Clinton,Carbs,Pasta,Rice Noodle Crisps,1
Clinton,Carbs,Pasta,Spicy Vegetable “Noodles”,1
Clinton,Carbs,Pasta,Spinach Orzo,1
Clinton,Carbs,Pasta,Ravioli of Chanterelles and Sweet Potatoes,1
Clinton,Carbs,Polenta,Creamy Polenta,1
Clinton,Carbs,Polenta,Basil Polenta,1
Clinton,Carbs,Kasha,Kasha,1
Clinton,Carbs,Quinoa,Quinoa Pilaf,1
Clinton,Carbs,Quinoa,Quinoa,1
Clinton,Carbs,Tuiles,Herb Tuile,1
Clinton,Carbs,Risotto,Wild Mushroom Risotto,2
Clinton,Carbs,Risotto,Tarragon Risotto,1
Clinton,Carbs,Risotto,Gremolata Risotto,1
Clinton,Carbs,Risotto,Carrot and Corn Risotto,1
Clinton,Carbs,Risotto,Grilled Vegetable Risotto,1
Clinton,Carbs,Risotto,Saffron Risotto and Chorizo,1
Clinton,Carbs,Custard,White Corn Custard,1
Clinton,Carbs,Rice,Basmati Rice Pilaf with Bell Pepper,1
Clinton,Carbs,Rice,Basmati Rice and Summer Vegetables,1
Clinton,Carbs,Rice,Jasmine Rice,1
Clinton,Vegetables,Vegetables,Grilled Vegetables with Tomato-Cumin Sauce,1
Clinton,Vegetables,Vegetables,Roasted Vegetables,2
Clinton,Vegetables,Vegetables,Layered Late Summer Vegetables with Lemongrass and Red Curry,1
Clinton,Vegetables,Vegetables,Basmati Rice and Summer Vegetables,1
Clinton,Vegetables,Vegetables,Roasted Root Vegetables with Quince Sauce,1
Clinton,Vegetables,Vegetables,Roasted Root Vegetables,1
Clinton,Vegetables,Vegetables,Root Vegetables with Tarragon Huckleberry Sauce,1
Clinton,Vegetables,Vegetables,Herb Marinated Young Vegetables,1
Clinton,Vegetables,Vegetables,Spring Vegetables with Spiced Peach and Lamb Reductions,1
Clinton,Vegetables,Vegetables,Spring Vegetables,1
Clinton,Vegetables,Vegetables,Herbed Spring Vegetables,1
Clinton,Vegetables,Vegetables,Baby Vegetables and Balsamic Reduction,1
Clinton,Vegetables,Vegetables,Baby Bok Choy and Spring Vegetables,1
Clinton,Vegetables,Vegetables,Braised Winter Vegetables with Parsnip Puree,1
Clinton,Vegetables,Vegetables,Oriental Vegetable Confetti,1
Clinton,Vegetables,Squash,Artichoke Bottom with Acorn Squash,1
Clinton,Vegetables,Squash,Acorn Squash and Smoked Chili Sauce,1
Clinton,Vegetables,Squash,Marinated Butternut Squash,1
Clinton,Vegetables,Ragoût,Vegetable Ragoût,1
Clinton,Vegetables,Ragoût,"Portobello Mushroom, Roasted Peppers, and Fava Bean Ragoût",1
Clinton,Vegetables,Ragoût,Ragoût of Morels and Spring Vegetables,1
