president,category,subcategory,item,count
Eisenhower,Meat,Seafood,Broiled Fillet of Sole with Fish Sauce,1
Eisenhower,Meat,Seafood,Broiled Fillet of Sole Amandine,1
Eisenhower,Meat,Seafood,Broiled Fillet of Sole Véronique,2
Eisenhower,Meat,Seafood,Fillet English Sole meunière,1
Eisenhower,Meat,Seafood,"Fillet of Sole, Sauce Parmesan",1
Eisenhower,Meat,Seafood,Fillets of Potomac Shad and Roe with Tartare Sauce,1
Eisenhower,Meat,Seafood,Blue Points on Half Shell,1
Eisenhower,Meat,Seafood,Shrimp Cocktail with Cocktail Sauce,1
Eisenhower,Meat,Seafood,Shrimp and Crabmeat Cocktail with Cocktail Sauce,1
Eisenhower,Meat,Seafood,Shrimp Creole,1
Eisenhower,Meat,Seafood,Crabmeat Mornay,1
Eisenhower,Meat,Seafood,Deviled Crabs with Tomato Garnish,1
Eisenhower,Meat,Seafood,Molded Crab Louis,1
Eisenhower,Meat,Seafood,Casserole of Crabmeat Creole,1
Eisenhower,Meat,Seafood,White Fish in Cheese Sauce,1
Eisenhower,Meat,Seafood,Broiled Fillet Corbina,1
Eisenhower,Meat,Seafood,Seafood Newburg,1
Eisenhower,Meat,Seafood,Seafood Marguery,1
Eisenhower,Meat,Seafood,Baked Florida Red Snapper with Hot Tartare Sauce,1
Eisenhower,Meat,Seafood,Lobster Thermidor,3
Eisenhower,Meat,Red,Roast Fillet of Beef,1
Eisenhower,Meat,Red,Delmonico Roast of Beef with Sauteed Mushroom Garnish and Horseradish Sauce,1
Eisenhower,Meat,Red,Roast New York Sirloin of Beef with Mushroom Sauce,1
Eisenhower,Meat,Red,Roast Tenderloin of Beef with Irish Apple Garnish,1
Eisenhower,Meat,Red,Broiled Fillet Mignon with Sauteed Mushroom Garnish,1
Eisenhower,Meat,Red,Broiled Fillet Mignon with Horseradish Sauce,1
Eisenhower,Meat,Red,"Crown Roast of Lamb stuffed with Spanish Rice, with Mint Jelly",1
Eisenhower,Meat,Red,Crown Roast of Spring Lamb with Currant Mint Sauce,1
Eisenhower,Meat,Red,Roast Saddle of Lamb with Crab Apple Garnish and Fresh Mint Sauce,1
Eisenhower,Meat,Red,Glazed French Rack of Lamb with Minted Pear Garnish,1
Eisenhower,Meat,Poultry,Roast Boned Baby Chicken with Jelly,1
Eisenhower,Meat,Poultry,Baked Breast of Guinea Hen with Cumberland Sauce and Beach Plum Jelly,1
Eisenhower,Meat,Poultry,Roast Rock Cornish Game Hen with Currant Jelly,1
Eisenhower,Meat,Poultry,Roast Turkey with Gravy,2
Eisenhower,Meat,Poultry,Turkey Divan a la Asparagus,1
Eisenhower,Meat,Poultry,Fried Spring Turkey with Cream Gravy,1
Eisenhower,Meat,Poultry,Roast Long Island Duckling with Gravy,1
Eisenhower,Meat,Poultry,Roast Stuffed Long Island Duckling with Orange Sauce and Gravy,1
Eisenhower,Meat,Poultry,Roast Stuffed Long Island Duckling with Gravy,3
Eisenhower,Meat,Poultry,Roast Stuffed Duckling Marnier with Orange Sauce,1
Eisenhower,Meat,Mousse,Mousse of Lobster,1
Eisenhower,Meat,Aspic,Aspic of Pâté de Foie Gras,5
Eisenhower,Meat,Aspic,Aspic of Caviar,1
Eisenhower,Meat,Prosciutto,Melon with Prosciutto Ham,5
Eisenhower,Carbs,Sandwiches,Boston Brown Bread Sandwiches,11
Eisenhower,Carbs,Sandwiches,Bread and Butter Sandwiches,1
Eisenhower,Carbs,Sandwiches,Cucumber Sandwiches,4
Eisenhower,Carbs,Crackers,Toasted Triscuits,1
Eisenhower,Carbs,Crackers,Assorted Crackers,1
Eisenhower,Carbs,Crackers,Toasted Sesame Crackers,1
Eisenhower,Carbs,Crackers,Saltines,3
Eisenhower,Carbs,Corn,Thin Corn Crusts,1
Eisenhower,Carbs,Corn,Corn Pudding,3
Eisenhower,Carbs,Toast,Melba Toast,8
Eisenhower,Carbs,Toast,Whole Wheat Melba Toast,1
Eisenhower,Carbs,Toast,Chippers and Melbas,2
Eisenhower,Carbs,Toast,Melba Rounds,1
Eisenhower,Carbs,Toast,Fairy Toast,10
Eisenhower,Carbs,Toast,Whole Wheat Fairy Toast,2
Eisenhower,Carbs,Casserole,Casserole of Sweet Potatoes with Marshmallows,1
Eisenhower,Carbs,Casserole,Casserole of Eggplant,2
Eisenhower,Carbs,Casserole,Casserole of Sweet Potatoes,1
Eisenhower,Carbs,Rolls,Finger Rolls,1
Eisenhower,Carbs,Breadsticks,Breadsticks,17
Eisenhower,Carbs,Chippers,Chippers,3
Eisenhower,Carbs,Chippers,Toasted Chippers,1
Eisenhower,Carbs,Chippers,Chippers and Melbas,2
Eisenhower,Carbs,"Stuffing, Dressing",Sage Stuffing,1
Eisenhower,Carbs,"Stuffing, Dressing",Cornbread Dressing,1
Eisenhower,Carbs,"Stuffing, Dressing",Wild Rice Dressing,1
Eisenhower,Carbs,"Stuffing, Dressing",Dressing,1
Eisenhower,Carbs,"Stuffing, Dressing",Prune Dressing,1
Eisenhower,Carbs,Cheese Pastries,Cheese Crescents,3
Eisenhower,Carbs,Cheese Pastries,Cheese Crusts,5
Eisenhower,Carbs,Cheese Pastries,Cheese Straws,9
Eisenhower,Carbs,Potatoes,Parslied Potato Balls,2
Eisenhower,Carbs,Potatoes,French Fried Potato Balls,1
Eisenhower,Carbs,Potatoes,Brown Potato Balls,1
Eisenhower,Carbs,Vol-au-Vent,Vol-au-Vent,1
Eisenhower,Carbs,Crepes,Crabmeat Crepes with Lobster Veloute Sauce,1
Eisenhower,Carbs,Bread,Bread,1
Eisenhower,Carbs,Rice,Wild Rice,2
Eisenhower,Carbs,Rice,Wild Rice with Mushrooms,1
Eisenhower,Vegetables,Coleslaw,Coleslaw,6
Eisenhower,Vegetables,Coleslaw,Coleslaw in Tomato Basket,1
Eisenhower,Vegetables,Melons,Prosciutto Ham and Melon,5
Eisenhower,Vegetables,Melons,Melon Balls Perfection,1
Eisenhower,Vegetables,Melons,Melon Balls in Mint Rickey,1
