president,category,subcategory,item,count
Johnson,Meat,Seafood,Fillet of Sole Amandine,2
Johnson,Meat,Seafood,Sole Véronique,2
Johnson,Meat,Seafood,Fillet of Sole Venice,1
Johnson,Meat,Seafood,Sole Les Pinos,1
Johnson,Meat,Seafood,Turban of Sole,1
Johnson,Meat,Seafood,Fillet of Sole White House,1
Johnson,Meat,Seafood,Fillet of Sole Washington,1
Johnson,Meat,Seafood,Fillet of Sole Bonne Femme,1
Johnson,Meat,Seafood,Lobster Thermidor,1
Johnson,Meat,Seafood,Cold Baby Lobster,1
Johnson,Meat,Seafood,Cold Baby Lobster White House,1
Johnson,Meat,Seafood,Lobster Imperial,1
Johnson,Meat,Seafood,Crabmeat Ravigote,1
Johnson,Meat,Seafood,Crabmeat Chesapeake,3
Johnson,Meat,Seafood,Chesapeake Crabmeat Ring,1
Johnson,Meat,Seafood,Pompano Moro,1
Johnson,Meat,Seafood,Atlantic Pompano Amandine,1
Johnson,Meat,Seafood,Florida Pompano,1
Johnson,Meat,Seafood,Pompano Tropical,1
Johnson,Meat,Seafood,Florida Pompano Meunière,2
Johnson,Meat,Seafood,Pompano Henri,1
Johnson,Meat,Seafood,Brook Trout White House,1
Johnson,Meat,Seafood,Turbot Washington,1
Johnson,Meat,Seafood,Turbot Royale,1
Johnson,Meat,Seafood,Baked Red Snapper,1
Johnson,Meat,Seafood,Red Snapper Amandine,1
Johnson,Meat,Seafood,Coquilles St. Jacques,3
Johnson,Meat,Seafood,Supreme of Shrimp,1
Johnson,Meat,Seafood,Delices of Maryland,2
Johnson,Meat,Red,Fillet of Beef Wellington,1
Johnson,Meat,Red,Fillet of Beef Nemours,1
Johnson,Meat,Red,Roast Ribs of Beef,1
Johnson,Meat,Red,Fillet of Beef California,1
Johnson,Meat,Red,Fillet of Beef Clamart,1
Johnson,Meat,Red,Roast Sirloin of Beef White House,3
Johnson,Meat,Red,Roast Sirloin of Beef,7
Johnson,Meat,Red,Roast Sirloin of Beef Bordelaise,1
Johnson,Meat,Red,Roast Tenderloin of Beef Bordelaise,1
Johnson,Meat,Red,Roast Fillet of Beef White House,1
Johnson,Meat,Red,Roast Tenderloin of Beef,1
Johnson,Meat,Red,Tenderloin of Beef White House,1
Johnson,Meat,Red,Fillet of Beef Florentine,1
Johnson,Meat,Red,Roast Tenderloin of Beef Fleuriste,1
Johnson,Meat,Red,Sirloin of Beef Culloden,1
Johnson,Meat,Red,Roast Prime Rib of Beef,1
Johnson,Meat,Red,Tenderloin of Beef Bordelaise,1
Johnson,Meat,Red,Roast Sirloin President,1
Johnson,Meat,Red,Roast Sirloin White House,2
Johnson,Meat,Red,Filet Mignon Orlich,1
Johnson,Meat,Red,Filet Mignon White House,1
Johnson,Meat,Red,Tournedos Baltimore,1
Johnson,Meat,Red,Tournedos Hunter,1
Johnson,Meat,Red,Chateaubriand with Bearnaise Sauce,1
Johnson,Meat,Red,Rack of Lamb Vert Pre,1
Johnson,Meat,Red,Roast Rack of Lamb,1
Johnson,Meat,Red,Rack of Lamb,2
Johnson,Meat,Red,Noisettes of Lamb,1
Johnson,Meat,Red,Rack of Lamb Persilles,1
Johnson,Meat,Red,Tenderloin of Veal Princesse,1
Johnson,Meat,Poultry,Sliced Breast of Pheasant,1
Johnson,Meat,Poultry,Supreme of Pheasant White House,1
Johnson,Meat,Poultry,Breast of Pheasant Smitane,1
Johnson,Meat,Poultry,Supremes of Capon Tudic,1
Johnson,Meat,Poultry,Roast Squab White House,1
Johnson,Meat,Poultry,Eggs Tarragon,1
Johnson,Meat,Poultry,Rock Cornish Game Hen,1
Johnson,Meat,Poultry,Breast of Cornish Hen Virginia,1
Johnson,Meat,Poultry,Breast of Duckling à l'Orange,1
Johnson,Meat,Poultry,Roast Duckling White House,1
Johnson,Meat,Poultry,Roast Duckling Bigarade,3
Johnson,Meat,Mousse,Crabmeat Mousse,1
Johnson,Meat,Aspic,Baby Lobster en Bellevue,1
Johnson,Meat,Aspic,Lobster en Bellevue,2
Johnson,Carbs,Yorkshire Pudding,Yorkshire Pudding,2
Johnson,Carbs,Croquettes,Berny Potatoes,1
Johnson,Carbs,Croquettes,Almond Potato Croquettes,1
Johnson,Carbs,Pastries,Potato Galettes,1
Johnson,Carbs,Pastries,Potato Beignets,1
Johnson,Carbs,Pastries,Almond Potato Puffs,1
Johnson,Carbs,Pastries,Fleurons,1
Johnson,Carbs,Pastries,Anchovy Straws,2
Johnson,Carbs,Potatoes,Duchess Potatoes,4
Johnson,Carbs,Potatoes,Waffle Potatoes,1
Johnson,Carbs,Potatoes,Noisettes Potatoes,1
Johnson,Carbs,Potatoes,Rissole Potatoes,4
Johnson,Carbs,Potatoes,Dauphine Potatoes,5
Johnson,Carbs,Potatoes,Potatoes Anna,1
Johnson,Carbs,Vol-au-Vent,Vol-au-vent of Seafood Newberg,3
Johnson,Carbs,Vol-au-Vent,Seafood Vol-au-vent,3
Johnson,Carbs,Vol-au-Vent,Bouchée of Lobster Newberg,1
Johnson,Carbs,Crepes,Crabmeat Crepes,1
Johnson,Carbs,Rice,Wild Rice,6
Johnson,Carbs,Rice,Wild Rice Amandine,1
Johnson,Vegetables,Mousse,Cucumber Mousse,3
Johnson,Vegetables,Puree,Purée Favorite,2
Johnson,Vegetables,Vegetables,Bouquet of Vegetables,2
Johnson,Vegetables,Peas,Green Peas Mornay,1
Johnson,Vegetables,Peas,French Peas,1
Johnson,Vegetables,Peas,June Peas,1
Johnson,Vegetables,Tomatoes,Tomatoes with Mushrooms,1
Johnson,Vegetables,Tomatoes,Princess Tomatoes,1
Johnson,Vegetables,Tomatoes,Broiled Tomatoes,1
Johnson,Vegetables,Potatoes,New Potatoes,1
Johnson,Vegetables,Potatoes,Parsleyed New Potatoes,2
Johnson,Vegetables,Potatoes,Potatoes Empire,1
Johnson,Vegetables,Potatoes,Wisconsin Potatoes,1
Johnson,Vegetables,Potatoes,Potatoes White House,1
Johnson,Vegetables,Potatoes,Parisienne Potatoes,1
Johnson,Vegetables,Celery,Braised Celery,2
