president,category,subcategory,item,count
Kennedy,Meat,Seafood,Fillets de Sole Normande,1
Kennedy,Meat,Seafood,Fillet of Sole Verdi,1
Kennedy,Meat,Seafood,Boston Sole Diplomate,1
Kennedy,Meat,Seafood,Boston Fillet of Sole Verdi,1
Kennedy,Meat,Seafood,Avocado and Crabmeat Mimosa,1
Kennedy,Meat,Seafood,Rockfish Braise au Champagne,1
Kennedy,Meat,Seafood,Black Bass Bosniaque,1
Kennedy,Meat,Seafood,Delices of Maryland à l'Américaine,1
Kennedy,Meat,Seafood,Trout en chaud froid Doria,1
Kennedy,Meat,Seafood,Medallions of Salmon (cold) with Green Sauce,1
Kennedy,Meat,Red,Beef Rochambeau,1
Kennedy,Meat,Red,Fillet of Beef Montpensier,1
Kennedy,Meat,Red,Roast Sirloin of Beef Chevreuse,1
Kennedy,Meat,Red,Tournedos Heloise,1
Kennedy,Meat,Red,New York Roast Sirloin Vert Pre,1
Kennedy,Meat,Red,Roast Sirloin Vert Pre,1
Kennedy,Meat,Red,Roast Sirloin Chatelaine,1
Kennedy,Meat,Red,Roast Sirloin Concorde,1
Kennedy,Meat,Red,Fillet Mignon with Bearnaise Sauce,1
Kennedy,Meat,Red,Roast Lamb Garnished with Vegetables,1
Kennedy,Meat,Red,Selle de l'Agneau Clamart,1
Kennedy,Meat,Red,Roast Spring Lamb,1
Kennedy,Meat,Red,Gigot d'Agneau aux Flageolets,1
Kennedy,Meat,Red,Carré d'agneau Descar,1
Kennedy,Meat,Poultry,Poulet Chasseur,1
Kennedy,Meat,Poultry,Guinea Hen Santa Clara,1
Kennedy,Meat,Mousse,Salmon Mousse,1
Kennedy,Meat,Mousse,Salmon Mousse Washington with Green Sauce,1
Kennedy,Meat,Aspic,Aspic of Salmon Dorian with Sauce Vincent,1
Kennedy,Meat,Aspic,Foie Gras en gelée,1
Kennedy,Carbs,Crackers,Crackers,1
Kennedy,Carbs,Quenelles,Quenelles of Sole au Gratin,1
Kennedy,Carbs,Croquettes,Potatoes Dauphine,1
Kennedy,Carbs,Potatoes,Waffle Potatoes,1
Kennedy,Carbs,Vol-au-Vent,Vol-au-Vent Maryland,1
Kennedy,Carbs,Rice,Wild Rice,1
Kennedy,Carbs,Rice,Rice Pilaf,1
Kennedy,Carbs,Rice,Rice a l'Orientale,1
Kennedy,Carbs,Rice,Couronne de Riz Clamart,1
Kennedy,Vegetables,Vegetables,Vegetables,1
Kennedy,Vegetables,Peas,Peas a la Francaise,1
Kennedy,Vegetables,Peas,Peas in Butter,1
Kennedy,Vegetables,Peas,Petits Pois au Beurre,1
Kennedy,Vegetables,Tomatoes,Tomates grille,1
Kennedy,Vegetables,Potatoes,Potatoes Parisienne,1
Kennedy,Vegetables,Potatoes,Potatoes Gaufrettes,1
Kennedy,Vegetables,Potatoes,Potatoes Anna,1
Kennedy,Vegetables,Mousse,Asparagus Sauce Mousseline,1
Kennedy,Vegetables,Asparagus,Asperges de Californie with Sauce Hollandaise,1
Kennedy,Vegetables,Spinach,Creamed Spinach,2
Kennedy,Vegetables,Spinach,Epinards a la creme,1
Kennedy,Vegetables,Spinach,Spinach a la Creme,2
Kennedy,Vegetables,Spinach,Spinach,1
Kennedy,Vegetables,Endive,Braised,1
Kennedy,Vegetables,Green Beans,String Beans with Almonds,2
Kennedy,Wine,Bordeaux,Château Haut-Brion,6
Kennedy,Wine,Bordeaux,Château Haut-Brion Blanc,1
Kennedy,Wine,Bordeaux,Château Latour,1
Kennedy,Wine,Sauvignon Blanc,Almaden Pinot Blanc,3
Kennedy,Wine,Riesling,Wehlener Sonnenuhr Spätlese,1
Kennedy,Wine,Pinot Noir,Almaden,1
Kennedy,Wine,Pinot Noir,Château Corton-Grancey,2
Kennedy,Wine,Pinot Noir,"Corton, Clos de la Vigne au Saint",2
Kennedy,Wine,Champagne,Perrier-Jouët,1
Kennedy,Wine,Champagne,Moët & Chandon,1
Kennedy,Wine,Champagne,Moët & Chandon Imperial Brut,1
Kennedy,Wine,Champagne,Piper-Heidsieck,3
Kennedy,Wine,Champagne,Dom Pérignon,6
Kennedy,Wine,Champagne,Cuvée Dom Pérignon,2
Kennedy,Wine,Champagne,Cuvée Dom Pérignon Brut,1
Kennedy,Wine,Burgundy,Corton-Charlemagne,1
Kennedy,Wine,Burgundy,Grands Echezeaux,2
Kennedy,Wine,Chardonnay,Puligny-Montrachet Pucelles,1
Kennedy,Wine,Chardonnay,Chevalier Montrachet,1
Kennedy,Wine,Chardonnay,Inglenook Pinot Chardonnay,7
Kennedy,Soup/Salad,Salad,Salad and Brie Cheese,2
Kennedy,Soup/Salad,Soup,Cream Chicken Soup “Caroline”,1
Kennedy,Soup/Salad,Cheese,Brie,5
Kennedy,Soup/Salad,Cheese,Salad and Brie Cheese,2
Kennedy,Soup/Salad,Cheese,Assorted Cheeses,1
Kennedy,Soup/Salad,Tomatoes,Tomato and Cucumber Salad,1
Kennedy,Soup/Salad,Lettuce,Boston Lettuce Salad,1
Kennedy,Soup/Salad,Cucumbers,Tomato and Cucumber Salad,1
Kennedy,Soup/Salad,Rubis au Porto,Rubis au Porto,1
Kennedy,Soup/Salad,Mimosa,Salad Mimosa,1
Kennedy,Soup/Salad,Mimosa,Salade Mimosa,2
Kennedy,Soup/Salad,Green,Green Salad,4
Kennedy,Soup/Salad,Aspic,Foie Gras in Aspic au Porto,1
Kennedy,Soup/Salad,Aspic,Galantine of Chicken,2
Kennedy,Soup/Salad,Mousse,Mousse aux Concombres,1
Kennedy,Soup/Salad,Mousse,Mousse de Foie Gras en gelée,1
Kennedy,Soup/Salad,Mousse,Mousse of Roquefort,1
Kennedy,Dessert,Liqueurs,Demi-tasse and Liqueurs,1
Kennedy,Dessert,Cake,Gateau St. Honoré,1
Kennedy,Dessert,Cake,Charlotte Glacée Moka,1
Kennedy,Dessert,Cake,Charlotte Plombière,1
Kennedy,Dessert,Bombe,Bombe Glacée Coppelia,1
Kennedy,Dessert,Bombe,Bombe Glacée Caribiéenne,1
Kennedy,Dessert,Bombe,Bombe Glacée Rustique,1
Kennedy,Dessert,Bombe,Bombe Glacée Pistachio,1
Kennedy,Dessert,Bombe,Bombe Glacée Jeanneton,1
Kennedy,Dessert,Bombe,Bombe Glacée Grand Duchesse,1
Kennedy,Dessert,Bombe,Bombe Glacée aux Peches,1
Kennedy,Dessert,Bombe,Bombe Glacée Nelusko,1
Kennedy,Dessert,Pastries,Assorted Pastries,1
Kennedy,Dessert,Coffee,Demi-tasse,2
Kennedy,Dessert,Coffee,Demi-tasse and Liqueurs,1
Kennedy,Dessert,Fruit,Framboises à la Crème Chantilly,1
Kennedy,Dessert,Ice Cream,Couronne Glacée Impériale,1
Kennedy,Dessert,Ice Cream,Glace Josephine,1
Kennedy,Dessert,Souffle,Ice Cream Souffle Jocelyn,1
Kennedy,Dessert,Souffle,Peach Ice Cream Souffle,1
Kennedy,Dessert,Petits Fours,Petits Fours,2
Kennedy,Dessert,Petits Fours,Petits fours Sec,6
