president,category,subcategory,item,count
Obama,Meat,Seafood,Herb Green Ceviche of Hawaiian Opah,1
Obama,Meat,Seafood,Aquavit Seafood Cocktail,1
Obama,Meat,Seafood,Salt Cured Ahi Tuna with Pickled Young Radish and Watermelon-Juniper Granita,1
Obama,Meat,Seafood,Tuna Tartare with Rye Crisps,1
Obama,Meat,Seafood,Poached Maine Lobster,1
Obama,Meat,Seafood,Butter-Poached Maine Lobster,1
Obama,Meat,Seafood,Langoustine Roll with Spiced Beets,1
Obama,Meat,Seafood,Green Curry Prawns,1
Obama,Meat,Seafood,Maryland Blue Crabs with Calamansi Lemon Curd,1
Obama,Meat,Seafood,Crisped Halibut with Potato Crust,1
Obama,Meat,Seafood,"Alaskan Halibut “Casseroles” with Cèpes, Chanterelles, Baby Onions, and Lardon and Herbed Butter",1
Obama,Meat,Red,Dry-Aged Rib-Eye with Buttermilk Crisp Onions,1
Obama,Meat,Red,Dry-Aged Rib-Eye Beef,1
Obama,Meat,Red,Oregon Wagyu Beef in Oaxacan Black Mole,1
Obama,Meat,Red,Wagyu Beef Rib-Eye Steaks,1
Obama,Meat,Red,American Wagyu Beef Tenderloin with Maui Onion Veal Jus,1
Obama,Meat,Red,American Wagyu Beef with Marrow Crust,1
Obama,Meat,Red,Red Wine-Braised Beef Short Ribs,1
Obama,Meat,Red,Petite Filet,1
Obama,Meat,Red,Beef Braciole Pinwheel with Horseradish Gremolata,1
Obama,Meat,Red,Baby Lamb Chops,1
Obama,Meat,Red,Grilled Cannon of Colorado Lamb with Garlic Fried Milk,1
Obama,Meat,Red,Bison Wellington with a Red Wine Reduction,1
Obama,Meat,Red,Venison Tartare with Truffle Vinaigrette,1
Obama,Meat,Poultry,Chicken and Waffles,1
Obama,Meat,Eggs,Deviled Eggs with Osetra Caviar,1
Obama,Meat,Eggs,American Osetra Caviar,1
Obama,Meat,Pork Belly,Duroc Pork Belly with Granny Smith Apple Salad,1
Obama,Meat,Ham,Shaved Ham and Ginger Snaps,1
Obama,Meat,Ham,Pineapple Tempura Cured Ham,1
