president,category,subcategory,item,count
TRUMAN,Meat,Seafood,Filet of Sole with Tartar Sauce,2
TRUMAN,Meat,Seafood,Panned Fillet of Sole with Tyrolienne Sauce,1
TRUMAN,Meat,Seafood,Panned Fillet Sole with Tartar Sauce,1
TRUMAN,Meat,Seafood,"Blue Points on Half Shell with Cocktail Sauce, Lemon Wedges",1
TRUMAN,Meat,Seafood,Lobster Thermidor,1
TRUMAN,Meat,Seafood,Shrimp Cocktails,1
TRUMAN,Meat,Seafood,Curried Shrimp in Rice Ring with Condiments,1
TRUMAN,Meat,Seafood,Crabmeat Cocktail,1
TRUMAN,Meat,Seafood,Broiled Pompano,1
TRUMAN,Meat,Seafood,Broiled Boned Shad and Roe,1
TRUMAN,Meat,Red,Roast Beef,1
TRUMAN,Meat,Red,Fillet of Beef,1
TRUMAN,Meat,Red,Prime Ribs of Beef,1
TRUMAN,Meat,Red,Fillet of Beef with Mustard Sauce,1
TRUMAN,Meat,Red,Roast Fillet Beef with Wine Essence,1
TRUMAN,Meat,Red,Veal Birds Smothered in Mushrooms Wine Sauce,1
TRUMAN,Meat,Red,Broiled Filet Mignon with Wine Essence,1
TRUMAN,Meat,Poultry,Chicken a la King in Pattie Shells,1
TRUMAN,Meat,Poultry,Boned Breast of Chicken with Cream Gravy and Currant Jelly,1
TRUMAN,Meat,Poultry,Breast of Guinea Chicken on Prune Dressing with Currant Jelly,1
TRUMAN,Meat,Poultry,Fried Breast of Chicken with Cream Gravy and Currant Jelly,3
TRUMAN,Meat,Poultry,Fried Boned Breast of Chicken on Broiled Slices of Ham with Cream Gravy and Currant Jelly,1
TRUMAN,Meat,Poultry,Barbecued Breast of Chicken with Barbecue Sauce,1
TRUMAN,Meat,Poultry,Barbecued Breast of Chicken with Barbecued Sauce and Currant Jelly,1
TRUMAN,Meat,Poultry,Roast Turkey with Brown Gravy,1
TRUMAN,Meat,Poultry,Fried Spring Turkey with Cream Gravy,1
TRUMAN,Meat,Poultry,Fried Breast of Spring Turkey with Cream Gravy and Currant Jelly,1
TRUMAN,Meat,Poultry,Broiled Breast of Duck with Currant Jelly,1
TRUMAN,Meat,Poultry,Broiled Breast of Duck with Wine Essence and Currant Jelly,1
TRUMAN,Meat,Poultry,Broiled Breast of Duck with Orange Sauce,1
TRUMAN,Meat,Sweetbreads,Stuffed Sweetbreads with Sauce de la Real and Crab Apple Jelly,1
TRUMAN,Meat,Sweetbreads,Stuffed Sweetbreads with Sauce de la Real and Guava Jelly,1
TRUMAN,Meat,Ham,Fried Boned Breast of Chicken on Broiled Slices of Ham with Cream Gravy and Currant Jelly,1
TRUMAN,Meat,Ham,Baked Old Missouri Ham,1
TRUMAN,Carbs,Biscuits,Hot Biscuits,4
TRUMAN,Carbs,Crackers,Toasted Triscuits,10
TRUMAN,Carbs,Crackers,Assorted Crackers,2
TRUMAN,Carbs,Crackers,Crackers,1
TRUMAN,Carbs,Crackers,Saltines,1
TRUMAN,Carbs,Crackers,Oysterettes,1
TRUMAN,Carbs,Crackers,Wheat Wafers,1
TRUMAN,Carbs,Corn,Corn Sticks,6
TRUMAN,Carbs,Corn,Corn Pudding,1
TRUMAN,Carbs,Corn,Corn Fritters,4
TRUMAN,Carbs,Toast,Melba Toast,5
TRUMAN,Carbs,Toast,Whole Wheat Melba Toast,1
TRUMAN,Carbs,Toast,Fairy Toast,3
TRUMAN,Carbs,Yorkshire Pudding,Yorkshire Pudding,1
TRUMAN,Carbs,Rolls,Hot Rolls,1
TRUMAN,Carbs,Rolls,Dinner Rolls,2
TRUMAN,Carbs,Rolls,Rolls,12
TRUMAN,Carbs,Rolls,Hard Rolls,1
TRUMAN,Carbs,Breadsticks,Breadsticks,1
TRUMAN,Carbs,Apple Fritters,Fried Apple Fritters,1
TRUMAN,Carbs,Apple Fritters,Apple Fritters,2
TRUMAN,Carbs,Sandwiches,Brown and White Sandwiches,1
TRUMAN,Carbs,Sandwiches,Whole Wheat Sandwiches,1
TRUMAN,Carbs,Sandwiches,Cucumber Sandwiches,1
TRUMAN,Carbs,"Stuffing, Dressing",Oyster Dressing,1
TRUMAN,Carbs,"Stuffing, Dressing",Breast of Guinea Chicken on Prune Dressing with Currant Jelly,1
TRUMAN,Carbs,Cheese Pastries,Cheese Crescents,2
TRUMAN,Carbs,Cheese Pastries,Cheese Straws,4
TRUMAN,Carbs,Potatoes,Brown Potato Balls,1
TRUMAN,Carbs,Potatoes,Fried Potato Balls,1
TRUMAN,Carbs,Potatoes,French Fried Potato Balls,1
TRUMAN,Carbs,Potatoes,Shoestring Potatoes,4
TRUMAN,Carbs,Wheat Hearts,Wheat Hearts,1
TRUMAN,Carbs,Canapes,Canapes,15
TRUMAN,Carbs,Fritos,Fritos,2
TRUMAN,Carbs,Steamed Rice,Steamed Rice,1
TRUMAN,Carbs,Onion Rings,Fried Onion Rings,1
TRUMAN,Vegetables,Casserole,Casserole of Squash,1
TRUMAN,Vegetables,Melons,Melons,1
TRUMAN,Vegetables,Melons,Honeydew Melon,1
TRUMAN,Vegetables,Melons,Watermelon Balls in Mint Lime Rickey,2
TRUMAN,Vegetables,Melons,Mint Watermelon Balls in Gingerale,1
TRUMAN,Vegetables,Melons,Persian Melon,1
TRUMAN,Vegetables,Cucumbers,Cucumbers and Sour Cream,2
TRUMAN,Vegetables,Cucumbers,Sliced Tomatoes and Cucumbers,1
TRUMAN,Vegetables,Cucumbers,Parsleyed Sliced Tomatoes and Cucumbers,1
TRUMAN,Vegetables,Cucumbers,Stuffed Cucumbers with Bread Crumbs,1
TRUMAN,Vegetables,Peas,Buttered Peas,1
TRUMAN,Vegetables,Tomatoes,Scalloped Tomatoes,1
TRUMAN,Vegetables,Tomatoes,Sliced Tomatoes and Cucumbers,1
TRUMAN,Vegetables,Tomatoes,Parsleyed Sliced Tomatoes and Cucumbers,1
TRUMAN,Vegetables,Tomatoes,Baked Stuffed Tomatoes with Mushrooms,3
TRUMAN,Vegetables,Tomatoes,Grilled Tomatoes,1
TRUMAN,Vegetables,Corn,Spanish Corn,1
TRUMAN,Vegetables,Potatoes,New Potatoes (Browned),1
TRUMAN,Vegetables,Potatoes,New Potatoes (Parsley and Buttered),1
TRUMAN,Vegetables,Potatoes,Buttered New Potatoes,1
TRUMAN,Vegetables,Sweet Potatoes,Candied Sweet Potatoes,2
TRUMAN,Vegetables,Pickles,Pickled Peaches,1
TRUMAN,Vegetables,Pickles,Watermelon Pickles,2
TRUMAN,Vegetables,Pickles,Pickled Beets,3
TRUMAN,Vegetables,Celery,Celery,2
TRUMAN,Vegetables,Celery,Curled Celery,1
TRUMAN,Vegetables,Celery,Celery Hearts,14
TRUMAN,Vegetables,Olives,Olives,2
TRUMAN,Vegetables,Olives,Assorted Olives,15
TRUMAN,Vegetables,Carrots,Glazed Carrots,1
TRUMAN,Vegetables,Carrots,Julienne Carrots,1
TRUMAN,Vegetables,Carrots,Candied Carrots,2
TRUMAN,Vegetables,Cauliflower,Cauliflower in Mustard Sauce,1
TRUMAN,Vegetables,Cauliflower,Cauliflower au Gratin,1
TRUMAN,Vegetables,Cauliflower,Cauliflower Au Hollandaise,1
TRUMAN,Vegetables,Mushrooms,Mushrooms,1
TRUMAN,Vegetables,Mushrooms,Baked Stuffed Tomatoes with Mushrooms,3
TRUMAN,Vegetables,Mushrooms,Broiled Mushrooms,1
TRUMAN,Vegetables,Mushrooms,Smothered Mushrooms,1
TRUMAN,Vegetables,Beets,Buttered Beets,1
TRUMAN,Vegetables,Beets,Harvard Beets,2
TRUMAN,Vegetables,Cranberries,Cranberry Sauce,2
TRUMAN,Vegetables,Asparagus,Fresh Asparagus,1
TRUMAN,Vegetables,Asparagus,Asparagus,1
TRUMAN,Vegetables,Asparagus,Asparagus with Lemon Drawn Butter,1
TRUMAN,Vegetables,Asparagus,Buttered Asparagus,4
TRUMAN,Vegetables,Asparagus,Hot Asparagus with Hollandaise Sauce,1
TRUMAN,Vegetables,Asparagus,Asparagus Hollandaise,1
TRUMAN,Vegetables,Asparagus,Asparagus Au Hollandaise,1
TRUMAN,Vegetables,Lemons,Lemon Slices,1
TRUMAN,Vegetables,Lemons,Lemon and Lime Wedges,1
TRUMAN,Vegetables,Spinach,Baked Spinach,1
TRUMAN,Vegetables,Spinach,Spinach Goldenrod,2
TRUMAN,Vegetables,Eggplant,French Fried Eggplant,1
TRUMAN,Vegetables,Oranges,Baked Oranges,1
TRUMAN,Vegetables,Green Beans,Green Beans,3
TRUMAN,Vegetables,Green Beans,String Beans,1
TRUMAN,Vegetables,Green Beans,French String Beans,1
TRUMAN,Vegetables,Green Beans,Buttered Green Beans,1
TRUMAN,Vegetables,Green Beans,Buttered String beans,5
