president,category,subcategory,item,count
Trump,Meat,Red,Rack of Spring Lamb with Burnt Cipollini Soubise,1
Trump,Carbs,Gateau,Goat Cheese Gateau with Tomato Jam,1
Trump,Carbs,Biscuits,Buttermilk Biscuit Crumbles,1
Trump,Carbs,Rice,Carolina Gold Rice Jambalaya,1
Trump,Wine,Pinot Noir,Domaine Drouhin Pinot Noir “Laurène”,1
Trump,Wine,Sparkling,Schramsberg Demi-Sec Crémant,1
Trump,Wine,Chardonnay,Domaine Serene Chardonnay “Evenstad Reserve”,1
Trump,Soup/Salad,Lettuce,Young Variegated Lettuces,1
Trump,Dessert,Pastries,Nectarine Tart,1
Trump,Dessert,Ice Cream,Crème Fraiche,1
